player;team;team_abb;apps;min;goals;a;xG;xA;xG90;xA90
Erling Haaland;Manchester City;MCI;21;1846;20;4;20.04;3.16;0.98;0.15
Thiago;Brentford;BRE;21;1762;16;1;15.71;2.14;0.8;0.11
Antoine Semenyo;Bournemouth;BOU;20;1800;10;3;7.93;2.47;0.4;0.12
Dominic Calvert-Lewin;Leeds;LEE;19;1314;9;1;8.43;1.32;0.58;0.09
Bruno Guimarães;Newcastle United;NEW;20;1752;8;3;4.9;2.41;0.25;0.12
Danny Welbeck;Brighton;BRI;20;1116;8;0;6.67;0.32;0.54;0.03
Hugo Ekitike;Liverpool;LIV;18;1158;8;2;6.48;1.43;0.5;0.11
Jean-Philippe Mateta;Crystal Palace;CRY;21;1761;8;0;12.01;0.66;0.61;0.03
Eli Junior Kroupi;Bournemouth;BOU;16;567;7;0;3.71;0.34;0.59;0.05
Harry Wilson;Fulham;FUL;20;1553;7;4;3.38;2.6;0.2;0.15
Morgan Rogers;Aston Villa;AVL;21;1880;7;4;3.38;4.59;0.16;0.22
Nick Woltemade;Newcastle United;NEW;18;1308;7;2;7.4;1.14;0.51;0.08
Ollie Watkins;Aston Villa;AVL;21;1600;7;1;9.77;1.13;0.55;0.06
Phil Foden;Manchester City;MCI;19;1579;7;2;5.4;4.08;0.31;0.23
Richarlison;Tottenham;TOT;21;1252;7;3;5.44;2.16;0.39;0.16
Bryan Mbeumo;Manchester United;MUN;16;1423;6;1;6.53;2.98;0.41;0.19
Enzo Fernández;Chelsea;CHE;20;1713;6;1;8.25;4.94;0.43;0.26
Jarrod Bowen;West Ham;WHU;21;1890;6;1;5.69;1.85;0.27;0.09
João Pedro;Chelsea;CHE;21;1539;6;3;6.33;3.11;0.37;0.18
Kevin Schade;Brentford;BRE;20;1670;6;3;7.3;3.4;0.39;0.18
Bruno Fernandes;Manchester United;MUN;18;1552;5;8;8.05;6.16;0.47;0.36
Cody Gakpo;Liverpool;LIV;18;1245;5;3;5.67;4.37;0.41;0.32
Harvey Barnes;Newcastle United;NEW;20;939;5;0;4.5;1.67;0.43;0.16
Jaidon Anthony;Burnley;BUR;20;1282;5;1;2.75;0.67;0.19;0.05
Leandro Trossard;Arsenal;ARS;16;1085;5;4;4.98;2.66;0.41;0.22
Morgan Gibbs-White;Nottingham Forest;NOT;21;1810;5;1;5.97;1.14;0.3;0.06
Pedro Neto;Chelsea;CHE;21;1659;5;3;3.9;4.31;0.21;0.23
Raúl Jiménez;Fulham;FUL;20;1323;5;3;6.08;1.48;0.41;0.1
Tijjani Reijnders;Manchester City;MCI;20;1352;5;2;3.76;2.96;0.25;0.2
Viktor Gyokeres;Arsenal;ARS;18;1251;5;0;6.8;1.32;0.49;0.09
Zian Flemming;Burnley;BUR;15;666;5;0;3.67;0.31;0.5;0.04
Benjamin Sesko;Manchester United;MUN;17;1041;4;1;7.03;0.53;0.61;0.05
Brenden Aaronson;Leeds;LEE;20;1266;4;3;4.18;3.05;0.3;0.22
Bukayo Saka;Arsenal;ARS;18;1353;4;3;5.95;5.51;0.4;0.37
Callum Wilson;West Ham;WHU;17;820;4;1;3.28;0.3;0.36;0.03
Casemiro;Manchester United;MUN;19;1353;4;1;3.02;2.12;0.2;0.14
Declan Rice;Arsenal;ARS;19;1613;4;3;3.22;3.71;0.18;0.21
Donyell Malen;Aston Villa;AVL;21;600;4;1;4.74;0.37;0.71;0.06
Emiliano Buendía;Aston Villa;AVL;19;774;4;2;2.37;1.63;0.28;0.19
Evanilson;Bournemouth;BOU;19;1448;4;0;6.13;1.68;0.38;0.1
Iliman Ndiaye;Everton;EVE;16;1365;4;2;3;3.02;0.2;0.2
Kiernan Dewsbury-Hall;Everton;EVE;15;1268;4;2;1.64;2.9;0.12;0.21
Lucas Paquetá;West Ham;WHU;18;1544;4;1;2.44;3.01;0.14;0.18
Lukas Nmecha;Leeds;LEE;18;602;4;0;4.62;0.2;0.69;0.03
Marcus Tavernier;Bournemouth;BOU;21;1716;4;3;4.1;2.66;0.21;0.14
Matheus Cunha;Manchester United;MUN;18;1364;4;1;4.43;1.79;0.29;0.12
Mohamed Salah;Liverpool;LIV;14;1187;4;3;5.06;3.13;0.38;0.24
Ryan Gravenberch;Liverpool;LIV;18;1596;4;2;0.8;1.37;0.04;0.08
Wilson Isidor;Sunderland;SUN;19;999;4;0;4.29;0;0.39;0
Anton Stach;Leeds;LEE;19;1542;3;2;2.17;3.95;0.13;0.23
Brian Brobbey;Sunderland;SUN;16;681;3;1;1.88;0.18;0.25;0.02
Callum Hudson-Odoi;Nottingham Forest;NOT;19;1112;3;1;1.97;2.31;0.16;0.19
Chimuanya Ugochukwu;Burnley;BUR;20;1316;3;0;2.25;0.32;0.15;0.02
Cole Palmer;Chelsea;CHE;11;693;3;0;2.22;0.3;0.29;0.04
Dango Ouattara;Brentford;BRE;15;1085;3;0;4.05;1.72;0.34;0.14
Daniel Muñoz;Crystal Palace;CRY;14;1260;3;2;1.93;2.71;0.14;0.19
Diego Gómez;Brighton;BRI;19;1309;3;0;4.63;1.38;0.32;0.09
Emile Smith-Rowe;Fulham;FUL;21;884;3;0;2.47;0.59;0.25;0.06
Gabriel;Arsenal;ARS;14;1177;3;2;2.65;1.71;0.2;0.13
Ismaila Sarr;Crystal Palace;CRY;12;1022;3;1;4.43;1.46;0.39;0.13
Jan Paul van Hecke;Brighton;BRI;20;1800;3;1;2.36;0.44;0.12;0.02
João Palhinha;Tottenham;TOT;20;1293;3;2;1.18;0.56;0.08;0.04
John McGinn;Aston Villa;AVL;21;1646;3;2;2.39;2;0.13;0.11
Malick Thiaw;Newcastle United;NEW;18;1494;3;0;2.58;0.65;0.16;0.04
Martín Zubimendi;Arsenal;ARS;20;1703;3;1;1.55;0.84;0.08;0.04
Mason Mount;Manchester United;MUN;16;826;3;0;1.71;1.38;0.19;0.15
Mathys Tel;Tottenham;TOT;14;462;3;0;0.5;0.15;0.1;0.03
Matthew Cash;Aston Villa;AVL;20;1783;3;2;0.82;2.29;0.04;0.12
Michael Keane;Everton;EVE;19;1680;3;0;3.02;0.1;0.16;0.01
Micky van de Ven;Tottenham;TOT;20;1793;3;1;2.17;0.96;0.11;0.05
Mikel Merino;Arsenal;ARS;19;917;3;3;3.45;1.41;0.34;0.14
Moisés Caicedo;Chelsea;CHE;16;1340;3;1;1.06;0.88;0.07;0.06
Thierno Barry;Everton;EVE;21;1127;3;0;4.23;0.3;0.34;0.02
Trevoh Chalobah;Chelsea;CHE;20;1750;3;0;1.37;0.16;0.07;0.01
Alex Iwobi;Fulham;FUL;16;1372;2;2;1.01;1.99;0.07;0.13
Alexander Isak;Liverpool;LIV;10;519;2;1;2.77;0.85;0.48;0.15
Amad Diallo Traore;Manchester United;MUN;15;1212;2;2;3.55;3.1;0.26;0.23
Amadou Onana;Aston Villa;AVL;14;919;2;0;0.74;0.31;0.07;0.03
Anthony Gordon;Newcastle United;NEW;16;1059;2;1;5.02;3.18;0.43;0.27
Ao Tanaka;Leeds;LEE;18;723;2;0;1.07;0.89;0.13;0.11
Beto;Everton;EVE;21;806;2;0;4.96;0.53;0.55;0.06
Chemsdine Talbi;Sunderland;SUN;16;880;2;1;1.21;0.31;0.12;0.03
Chris Wood;Nottingham Forest;NOT;8;560;2;0;2.07;0.17;0.33;0.03
Cristian Romero;Tottenham;TOT;17;1456;2;1;1.34;1.65;0.08;0.1
Dan Ballard;Sunderland;SUN;17;1219;2;0;2.66;1.03;0.2;0.08
Dominik Szoboszlai;Liverpool;LIV;19;1706;2;1;2.19;2.92;0.12;0.15
Eddie Nketiah;Crystal Palace;CRY;12;396;2;0;1.94;0.96;0.44;0.22
Enzo Le Fée;Sunderland;SUN;20;1600;2;4;3.04;2.15;0.17;0.12
Federico Chiesa;Liverpool;LIV;15;181;2;1;1.34;1.32;0.67;0.66
Florian Wirtz;Liverpool;LIV;19;1359;2;1;4.09;2.51;0.27;0.17
Georginio Rutter;Brighton;BRI;19;1363;2;2;2.23;3.02;0.15;0.2
Hee-Chan Hwang;Wolverhampton Wanderers;WOL;16;900;2;1;2.35;0.88;0.24;0.09
Ibrahim Sangare;Nottingham Forest;NOT;13;894;2;2;1.29;0.78;0.13;0.08
Idrissa Gueye;Everton;EVE;13;1063;2;0;1.31;0.33;0.11;0.03
Jack Grealish;Everton;EVE;19;1555;2;6;2.99;4.56;0.17;0.26
Jacob Murphy;Newcastle United;NEW;18;1030;2;1;2.81;3.55;0.25;0.31
James Garner;Everton;EVE;21;1887;2;3;1.63;3.55;0.08;0.17
Joe Rodon;Leeds;LEE;19;1650;2;0;1.31;0.27;0.07;0.01
Joelinton;Newcastle United;NEW;17;1235;2;0;1.45;1.38;0.11;0.1
Josh Cullen;Burnley;BUR;18;1533;2;2;1.01;1.82;0.06;0.11
Joshua Zirkzee;Manchester United;MUN;14;468;2;1;2.82;1.05;0.54;0.2
Josko Gvardiol;Manchester City;MCI;16;1307;2;2;1.82;0.44;0.13;0.03
Jurriën Timber;Arsenal;ARS;19;1563;2;3;3;1.41;0.17;0.08
Justin Kluivert;Bournemouth;BOU;18;909;2;0;2.2;2.29;0.22;0.23
Kaoru Mitoma;Brighton;BRI;11;742;2;1;1.17;1.91;0.14;0.23
Keane Lewis-Potter;Brentford;BRE;19;894;2;1;1.23;1.35;0.12;0.14
Ladislav Krejcí;Wolverhampton Wanderers;WOL;16;1399;2;1;1.4;0.8;0.09;0.05
Lyle Foster;Burnley;BUR;14;906;2;1;1.79;0.81;0.18;0.08
Malo Gusto;Chelsea;CHE;19;1227;2;2;1.48;1.57;0.11;0.11
Marc Guehi;Crystal Palace;CRY;20;1800;2;2;2.6;1.74;0.13;0.09
Mateus Fernandes;West Ham;WHU;19;1517;2;1;0.78;1.18;0.05;0.07
Mateus Mané;Wolverhampton Wanderers;WOL;10;434;2;1;0.55;0.23;0.11;0.05
Mathias Jensen;Brentford;BRE;19;765;2;0;0.45;0.73;0.05;0.09
Mathis Cherki;Manchester City;MCI;16;848;2;7;1.64;6.56;0.17;0.7
Maxim De Cuyper;Brighton;BRI;18;989;2;0;1.19;2;0.11;0.18
Mohammed Kudus;Tottenham;TOT;19;1577;2;5;2.36;2.57;0.13;0.15
Nicolò Savona;Nottingham Forest;NOT;14;1036;2;0;1.24;0.59;0.11;0.05
Noah Okafor;Leeds;LEE;18;1067;2;0;2.91;1.13;0.25;0.1
Pape Sarr;Tottenham;TOT;14;682;2;2;1.5;0.75;0.2;0.1
Reece James;Chelsea;CHE;20;1332;2;4;1.03;3.38;0.07;0.23
Rúben Dias;Manchester City;MCI;20;1704;2;0;0.37;0.12;0.02;0.01
Ryan Sessegnon;Fulham;FUL;14;1139;2;0;1.11;1.43;0.09;0.11
Samuel Chukwueze;Fulham;FUL;9;370;2;4;1.09;1.85;0.27;0.45
Santiago Bueno;Wolverhampton Wanderers;WOL;12;1019;2;0;0.85;0.11;0.07;0.01
Tomas Soucek;West Ham;WHU;18;721;2;0;2.23;0.12;0.28;0.01
