team;team_abb;position;matches;wins;draws;loses;goals;ga;points;xG;xGA;xPTS
Arsenal;ARS;1;20;15;3;2;40;14;48;40.76;17.34;43.14
Manchester City;MCI;2;21;13;4;4;45;19;43;43.57;24.03;41.78
Aston Villa;AVL;3;21;13;4;4;33;24;43;29.77;33.33;26.02
Liverpool;LIV;4;20;10;4;6;32;28;34;35.09;26.17;34.22
Brentford;BRE;5;21;10;3;8;35;28;33;39.24;28.95;34.4
Newcastle United;NEW;6;21;9;5;7;32;27;32;34.97;25.16;34.83
Manchester United;MUN;7;21;8;8;5;36;32;32;41.34;28.61;35.71
Chelsea;CHE;8;21;8;7;6;34;24;31;39.95;31.04;32.27
Fulham;FUL;9;21;9;4;8;30;30;31;25.08;32.28;23.46
Sunderland;SUN;10;21;7;9;5;21;22;30;20.83;34.12;20.61
Brighton;BRI;11;21;7;8;6;31;28;29;33.02;34.09;28.52
Everton;EVE;12;21;8;5;8;23;25;29;26.44;32.9;25.62
Crystal Palace;CRY;13;21;7;7;7;22;23;28;36.03;31.09;31.61
Tottenham;TOT;14;21;7;6;8;30;27;27;23.55;26.69;28.46
Bournemouth;BOU;15;21;6;8;7;34;40;26;35.17;31;32.66
Leeds;LEE;16;21;5;7;9;29;37;22;31.59;30.63;30.62
Nottingham Forest;NOT;17;21;6;3;12;21;34;21;24.01;33.54;22.86
West Ham;WHU;18;21;3;5;13;22;43;14;23.33;42.61;19.24
Burnley;BUR;19;21;3;4;14;22;41;13;19.97;45.55;13.46
Wolverhampton Wanderers;WOL;20;21;1;4;16;15;41;7;19.37;33.97;20.49
